cve,count
CVE-2018-16335,1
CVE-2020-35523,1
CVE-2020-19131,1
CVE-2022-25235,1
CVE-2022-23852,1
CVE-2022-22824,1
CVE-2022-22823,1
CVE-2022-22822,1
CVE-2019-7149,1
CVE-2018-16403,1
CVE-2019-7665,1
CVE-2019-7150,1
CVE-2018-18521,1
CVE-2017-17095,1
CVE-2018-12900,1
CVE-2018-15209,1
CVE-2020-36331,1
CVE-2018-17100,1
CVE-2018-17101,1
CVE-2018-18557,1
CVE-2018-8905,1
CVE-2019-17546,1
CVE-2020-36330,1
CVE-2018-14404,1
CVE-2020-36332,1
CVE-2021-3537,1
CVE-2022-29824,1
CVE-2019-11068,1
CVE-2019-18197,1
CVE-2019-13117,1
CVE-2019-13118,1
CVE-2014-10402,1
CVE-2020-14393,1
CVE-2017-10789,1
CVE-2018-1000888,1
CVE-2020-28948,1
CVE-2020-28949,1
CVE-2020-36193,1
CVE-2021-32610,1
CVE-2016-9841,1
CVE-2016-9843,1
CVE-2016-9840,1
CVE-2016-9842,1
CVE-2018-5764,1
CVE-2018-20482,1
CVE-2021-3541,1
CVE-2020-24977,1
CVE-2018-18520,1
CVE-2018-14567,1
CVE-2018-18310,1
CVE-2018-16062,1
CVE-2018-16402,1
CVE-2020-14392,1
CVE-2019-20919,1
CVE-2017-8872,1
CVE-2017-16932,1
CVE-2017-5130,1
CVE-2022-25315,1
CVE-2019-19956,1
CVE-2019-20388,1
CVE-2020-7595,1
CVE-2021-3516,1
CVE-2021-3517,1
CVE-2021-3518,1
CVE-2022-23308,1
CVE-2016-9318,1
CVE-2017-18258,1
CVE-2017-5969,1
CVE-2022-25236,1
CVE-2020-15999,1
CVE-2018-20843,1
CVE-2017-10788,1
CVE-2020-11080,1
CVE-2020-29361,1
CVE-2020-29362,1
CVE-2020-14155,1
CVE-2018-10846,1
CVE-2018-10845,1
CVE-2018-10844,1
CVE-2019-3829,1
CVE-2021-43618,1
CVE-2018-14553,1
CVE-2019-15903,1
CVE-2018-1000222,1
CVE-2017-12652,1
CVE-2019-7317,1
CVE-2019-10208,1
CVE-2020-14350,1
CVE-2020-25694,1
CVE-2020-25695,1
CVE-2020-25696,1
CVE-2021-23214,1
CVE-2019-9513,1
CVE-2019-9511,1
CVE-2018-1000168,1
CVE-2018-16868,1
CVE-2021-40491,1
CVE-2020-10188,1
CVE-2019-20367,1
CVE-2019-14855,1
CVE-2018-9234,1
CVE-2018-1000858,1
CVE-2019-17543,1
CVE-2021-3520,1
CVE-2022-1664,1
CVE-2016-2781,1
CVE-2018-14498,1
CVE-2018-1152,1
CVE-2020-14152,1
CVE-2020-13790,1
CVE-2019-2201,1
CVE-2017-14062,1
CVE-2020-21913,1
CVE-2020-10531,1
CVE-2021-4209,1
CVE-2021-32027,1
CVE-2019-10130,1
CVE-2020-1720,1
CVE-2020-13632,1
CVE-2019-6977,1
CVE-2017-6363,1
CVE-2019-6978,1
CVE-2021-40528,1
CVE-2019-13627,1
CVE-2021-33560,1
CVE-2022-27406,1
CVE-2022-27405,1
CVE-2019-1559,1
CVE-2022-27404,1
CVE-2019-0053,1
CVE-2022-25313,1
CVE-2020-1968,1
CVE-2022-23990,1
CVE-2022-22827,1
CVE-2022-22826,1
CVE-2022-22825,1
CVE-2021-46143,1
CVE-2021-45960,1
CVE-2018-5711,1
CVE-2020-13631,1
CVE-2021-23222,1
CVE-2020-13434,1
CVE-2021-32028,1
CVE-2021-40812,1
CVE-2021-38115,1
CVE-2021-36084,1
CVE-2021-36085,1
CVE-2021-36086,1
CVE-2021-36087,1
CVE-2018-20346,1
CVE-2018-20506,1
CVE-2018-8740,1
CVE-2019-20218,1
CVE-2019-5827,1
CVE-2019-9936,1
CVE-2019-9937,1
CVE-2020-11655,1
CVE-2020-13630,1
CVE-2020-13871,1
CVE-2019-16168,1
CVE-2019-19645,1
CVE-2018-25032,1
